datetime,open,high,low,close,volume
2006-07-18 09:00:00,14680,14715,14525,14550,13490
2006-07-18 13:00:00,14545,14665,14400,14400,8855
2006-07-19 09:00:00,14500,14650,14465,14560,12251
2006-07-19 13:00:00,14560,14620,14475,14560,8395
2006-07-20 09:00:00,14860,14920,14780,14860,11433
2006-07-20 13:00:00,14865,14975,14840,14975,5965
2006-07-21 09:00:00,14840,14875,14800,14825,9514
2006-07-21 13:00:00,14820,14845,14790,14820,5175
2006-07-24 09:00:00,14685,14700,14560,14635,10923
2006-07-24 13:00:00,14640,14870,14640,14775,11718
2006-07-25 09:00:00,15000,15100,14990,15020,9690
2006-07-25 13:00:00,15025,15055,14985,15045,7300
2006-07-26 09:00:00,15110,15125,14930,14945,11299
2006-07-26 13:00:00,14940,14960,14865,14870,8348
2006-07-27 09:00:00,14910,15175,14840,15135,15532
2006-07-27 13:00:00,15135,15240,15125,15205,10145
2006-07-28 09:00:00,15230,15295,15155,15235,13989
2006-07-28 13:00:00,15230,15380,15230,15350,12054
2006-07-31 09:00:00,15525,15550,15450,15465,11743
2006-07-31 13:00:00,15465,15540,15415,15415,9112
2006-08-01 09:00:00,15385,15540,15375,15420,14692
2006-08-01 13:00:00,15420,15475,15365,15435,11129
2006-08-02 09:00:00,15330,15480,15290,15470,14591
2006-08-02 13:00:00,15470,15490,15405,15470,10302
2006-08-03 09:00:00,15540,15590,15440,15450,15794
2006-08-03 13:00:00,15450,15520,15445,15520,9448
2006-08-04 09:00:00,15515,15565,15465,15470,13549
2006-08-04 13:00:00,15465,15505,15440,15485,8874
2006-08-07 09:00:00,15505,15525,15275,15315,15885
2006-08-07 13:00:00,15315,15325,15155,15195,13069
2006-08-08 09:00:00,15230,15400,15190,15360,17172
2006-08-08 13:00:00,15365,15490,15300,15435,11949
2006-08-09 09:00:00,15410,15440,15235,15285,19312
2006-08-09 13:00:00,15285,15685,15270,15685,20637
2006-08-10 09:00:00,15600,15700,15535,15565,18829
2006-08-10 13:00:00,15570,15690,15535,15585,14526
2006-08-11 09:00:00,15620,15680,15560,15570,14727
2006-08-11 13:00:00,15570,15630,15560,15605,8519
2006-08-14 09:00:00,15575,15850,15550,15810,18715
2006-08-14 13:00:00,15805,15895,15780,15835,9438
2006-08-15 09:00:00,15820,15880,15810,15845,11835
2006-08-15 13:00:00,15845,15930,15815,15860,13248
2006-08-16 09:00:00,16020,16095,15980,16070,15153
2006-08-16 13:00:00,16070,16100,16030,16070,11615
2006-08-17 09:00:00,16175,16215,16085,16130,13712
2006-08-17 13:00:00,16130,16160,16010,16045,11633
2006-08-18 09:00:00,16060,16155,16025,16130,16406
2006-08-18 13:00:00,16130,16180,16110,16145,11093
2006-08-21 09:00:00,16110,16150,15960,15995,17330
2006-08-21 13:00:00,15995,16015,15925,15995,10787
2006-08-22 09:00:00,16020,16095,16005,16075,12861
2006-08-22 13:00:00,16080,16255,16060,16185,15919
2006-08-23 09:00:00,16165,16235,16120,16195,17940
2006-08-23 13:00:00,16190,16205,16135,16175,9880
2006-08-24 09:00:00,16105,16110,15910,15925,23739
2006-08-24 13:00:00,15930,16025,15915,15945,12132
2006-08-25 09:00:00,15950,16175,15870,16115,28144
2006-08-25 13:00:00,16120,16145,15920,15975,15301
2006-08-28 09:00:00,15965,16015,15755,15765,22223
2006-08-28 13:00:00,15765,15835,15740,15755,12725
2006-08-29 09:00:00,15890,15950,15850,15915,14041
2006-08-29 13:00:00,15920,15925,15810,15915,10921
2006-08-30 09:00:00,15935,15975,15855,15870,17811
2006-08-30 13:00:00,15870,15905,15765,15905,17411
2006-08-31 09:00:00,15885,16235,15875,16195,27762
2006-08-31 13:00:00,16195,16200,16070,16165,18731
2006-09-01 09:00:00,16060,16170,16030,16155,18641
2006-09-01 13:00:00,16155,16160,16080,16135,13151
2006-09-04 09:00:00,16315,16395,16310,16370,14860
2006-09-04 13:00:00,16370,16425,16350,16365,11337
2006-09-05 09:00:00,16350,16380,16280,16330,19072
2006-09-05 13:00:00,16330,16410,16315,16405,12271
2006-09-06 09:00:00,16345,16400,16245,16305,17891
2006-09-06 13:00:00,16305,16330,16240,16290,10017
2006-09-07 09:00:00,16115,16140,15945,15985,18051
2006-09-07 13:00:00,15990,16040,15935,15965,10027
2006-09-08 09:00:00,15895,16070,15780,16040,23457
2006-09-08 13:00:00,16040,16130,15980,15980,18364
2006-09-11 09:00:00,16010,16020,15880,15885,18363
2006-09-11 13:00:00,15880,15940,15720,15765,22604
2006-09-12 09:00:00,15800,15850,15625,15780,29374
